Group_Hypothesis,Sub_Hypothesis,Description,Expression
Low Liquidity Alpha,Order Book Imbalance,A significant imbalance between bid and ask sizes in illiquid stocks predicts a short-term price move in the direction of the larger side.,Signal = (BidSize - AskSize) / (BidSize + AskSize) if Volume[t] < AvgVolume[Past_30_Days] * 0.3 else 0
Short Interest,Short Squeeze Potential,High short interest before earnings announcements increases the probability of a short squeeze if the results are positive.,Signal = Short Interest Ratio * (1 if positive surprise else 0)
Sentiment and Price Reversion,5-Day Sentiment Reversion,Stocks with extreme negative sentiment over the past 5 days tend to exhibit positive price returns in the subsequent 2 days.,"Signal = -1 * AVG(SentimentScore, 5) ; Buy if Signal > Threshold, Sell if Signal < -Threshold"
Sentiment and Price Reversion,10-Day Sentiment Momentum,Stocks with consistently increasing positive sentiment over the past 10 days show stronger future price increases.,"Signal = SUM(Sentiment, 10) / 10; //Average sentiment over 10 days"
Volume and Sentiment,Sentiment-Volume Amplification,High volume combined with strong positive sentiment amplifies the positive price prediction.,Signal = Sentiment[t] * Volume[t] / Avg(Volume[t-20:t-1])
News Sentiment & Volatility,Sentiment Volatility Suppression,"Decreasing volatility in news sentiment, despite negative average sentiment, indicates potential price stabilization.",Signal = STDDEV(Sentiment_Score[-10:-1]) * -1; IF Signal > Threshold THEN Buy
News Sentiment & P/E Ratio,Sentiment-P/E Discrepancy,Positive news sentiment with a low P/E ratio indicates an undervalued asset and potential price increase.,signal = sentiment_score / P_E_ratio
Correlation and Sentiment,Sector Sentiment Divergence,"When a sector's sentiment diverges significantly from the market's overall sentiment, it indicates potential for outperformance or underperformance.",signal = (SectorSentiment - MarketSentiment) * SectorVolatility  //Amplified difference using volatility
News Sentiment & Trend,Sentiment Trend Confirmation,Positive news sentiment confirming an upward price trend predicts further price appreciation.,Signal = Sentiment_Score * SLOPE(Price[-10:-1]); IF Signal > Threshold THEN Buy
Market Sentiment,Social Media Buzz,Increased positive social media mentions of a stock predict a short-term price increase.,Signal = (PositiveMentions - NegativeMentions) / TotalMentions * Price
News Sentiment and Event Studies,Earnings Announcement Surprise,Positive news sentiment following an earnings announcement exceeding expectations predicts price appreciation.,IF (earnings_surprise > 0 AND sentiment_score > 0.5) THEN signal = 1 ELSE signal = 0; buy if signal = 1
Market Sentiment,Sentiment-Price Regression,The regression coefficient between sentiment and price predicts future price movements.,"signal = regressionCoefficient(Sentiment, Price); if signal > 0 then BUY else SELL"
Seasonality,Summer Doldrums,Stock market returns are lower during the summer months (June-August).,Signal = Avg_Return_June_July_August
Seasonality,Sell in May and Go Away,Stocks tend to underperform from May to October.,Signal = Avg_Return_May_Oct
Seasonality,Tax Loss Harvesting,Increased selling pressure in December due to tax loss harvesting.,Signal = Volume_December / Average_monthly_volume - 1
Calendar Effects,Pre-Earnings Announcement Drift,Stock prices tend to drift upwards in the period leading up to earnings announcements.,Signal = CumulativeReturn(Days before earnings announcement)
Seasonality: Asset prices exhibit predictable patterns related to specific times of the year.,Holiday Season Effect,Increased trading volume and volatility around major holidays.,Signal = StandardDeviation(Volume[Holiday Week])
Seasonality,Earnings Seasonality,Earnings announcements tend to cause temporary price movements.,Signal = PriceChange(Post-EarningsAnnouncement) - PriceChange(Pre-EarningsAnnouncement)
Seasonality,Day-of-the-Week Effect,"Stocks tend to perform better on certain days of the week (e.g., Monday or Friday).",Signal = Average Daily Return for each day of the week
Carry,High Dividend Yield Reversion,Stocks with high dividend yields relative to their historical average tend to underperform in the short term after a significant price increase.,Signal = (Current Dividend Yield - Average Dividend Yield (3-month)) / Standard Deviation (3-month Dividend Yield)
Undervalued Assets Outperformance,Low P/E Ratio Momentum,Stocks with the lowest P/E ratios in their sector will generate higher returns than the sector average over the next quarter.,Signal = (Sector_Avg_PE - Stock_PE) / Sector_Avg_PE
Carry,High Yield Value Spread,The spread between high-yield corporate bonds and similar maturity government bonds predicts future returns in high-yield corporate bonds.,Signal = (High-Yield Bond Yield - Government Bond Yield)
Carry,Leveraged Buyback Anomaly,Companies with high debt-to-equity ratios initiating share buyback programs will outperform due to the leveraged effect.,Signal = (DebtToEquityRatio) * (BuybackAmount/MarketCap)
Carry,Contrarian High-Yield Strategy,Stocks with high dividend yields that are currently unpopular (low analyst ratings) are likely to outperform.,Signal = DividendYield * (1 - AverageAnalystRating)
Carry,Yield Curve Steepness,A steeper yield curve predicts outperformance of high-yield assets.,Signal = 10-year Treasury Yield - 2-year Treasury Yield
Carry,Earnings Yield Dispersion,Stocks with high earnings yields relative to the average earnings yield of their sector will outperform.,Signal = (EarningsYield_t / Avg(SectorEarningsYield_t))
Carry,High-Yield Sector Rotation,High-yield sectors with positive sentiment outperform.,Signal = (SectorYield) * (SentimentScore); Long if Signal > Threshold
Liquidity Impact on Asset Prices,Volume Weighted Average Price (VWAP) Reversion,"Prices tend to revert to the VWAP over a longer time horizon (e.g., 20 days).",signal = (VWAP[t-20:t] - Price[t]) / VWAP[t-20:t]
Carry,Sentiment-Adjusted Yield,"The higher the dividend yield relative to negative sentiment, the better the expected performance.",Signal = DividendYield / (1 + NegativeSentimentScore)
Calendar Effects,Turn of the Year Effect,Returns are higher in December and January.,signal = (month == 12 || month == 1) ? 1 : 0
Calendar Effects,Friday Effect,Stocks tend to underperform on Fridays.,Signal = Mean(Return[Fridays])
Calendar Effects,Monday Effect,Stocks tend to underperform on Mondays.,Signal = Mean(Return[Mondays])
Calendar Effects,Weekend Effect,Returns are different depending on the number of weekend days between trading days.,Signal = Mean(Return[Following a 2-day weekend]) - Mean(Return[Following a 1-day weekend])
Calendar Effects,Pre-Holiday Effect,Returns are higher before major holidays.,signal = (days_until_holiday <= 3) ? 1 : 0
Calendar Effects,Post-Holiday Effect,Stocks tend to underperform in the days immediately following major holidays.,Signal = Avg(Return_PostHolidayDays) / Avg(Return_AllDays)
Calendar Effects,Earnings Announcement Effect,Returns are higher in the week following positive earnings surprises.,signal = (earnings_surprise > 0 && days_since_announcement <= 5) ? 1 : 0
Calendar Effects,Tax Loss Harvesting Effect,Increased selling pressure near the end of the year due to tax loss harvesting.,Signal = Volume[December] / Average(Volume[Rest of year])
Sentiment-Driven Price Momentum,Sentiment Surge Momentum,Stocks with a significant positive sentiment surge outperform the market in the following 3 days.,Signal = (Sentiment_t - Sentiment_{t-1})/Sentiment_{t-1}; Buy if Signal > 0.1 and hold for 3 days
News Sentiment Impact on Price,Negative Sentiment Reversal,A significant drop in negative sentiment following a period of consistently negative news predicts a price increase.,Signal = -Min(Sentiment_t-10) + Avg(Sentiment_t)
News Event Impact,Earnings Surprise Reaction,"Positive earnings surprises lead to higher returns in the next trading day, while negative surprises lead to lower returns.",Signal = 1 if (EPS_actual > EPS_estimate) else -1 if (EPS_actual < EPS_estimate) else 0
News Event Impact,Regulatory News Impact,"Positive regulatory news leads to a short-term price jump, decaying over time.",Signal = 1 if positive regulatory news else 0; Price_prediction = Price_t * (1 + Signal * exp(-decay_rate * time_since_news))
Market Sentiment,Sentiment-Volume Confirmation,Strong positive sentiment coupled with high volume confirms a bullish trend.,"signal = sentiment_score > 80 AND volume > 2 * avg(volume, window=20)"
Sentiment and Valuation Interaction,Undervalued Sentiment Play,Low P/E ratio stocks with high positive sentiment outperform high P/E ratio stocks with low sentiment.,Signal = Sentiment / P/E if Signal > 0.5 then BUY else HOLD
News Sentiment Decay,News Sentiment Half-Life,"The impact of news sentiment on returns decays exponentially over time, with a half-life of 3 days.",Signal = Sentiment_t * 0.5^(t/3)
Correlation with Sentiment Index,Sentiment Index Correlation,High positive correlation between asset price and a broad market sentiment index predicts continued price appreciation.,"signal = correlation(asset_price, sentiment_index, 30)"
Mean Reversion of Sentiment,Sentiment Extreme Reversion,Stocks with extremely high or low sentiment tend to revert towards the mean in the next week.,Signal = 1 if (Sentiment_t > 2*Sentiment_mean) or (Sentiment_t < 0.5*Sentiment_mean) else 0
News Event Clustering,Positive News Cluster,A cluster of multiple positive news events for a stock leads to outperformance in the following 5 days.,Signal = COUNT(Positive_News_Events_Last_2_Days) if Signal > 2 then BUY else HOLD
Market Sentiment,Social Media Sentiment Surge,A sudden increase in positive social media sentiment predicts a short-term price increase.,signal = (SocialMediaSentiment_t - SocialMediaSentiment_t-1) / SocialMediaSentiment_t-1; if signal > 0.1 then BUY else SELL
Market Sentiment,Sentiment-Volume Correlation,High correlation between positive sentiment and trading volume predicts sustained price increases.,"signal = correlation(Sentiment, Volume); if signal > 0.7 then BUY else SELL"
Correlation Arbitrage: Exploiting temporary mispricing between correlated assets,Sentiment Divergence,"When the sentiment scores for two highly correlated assets diverge significantly, a price convergence is anticipated.","signal = (Sentiment_AssetA - Sentiment_AssetB) * correlation(Price_AssetA, Price_AssetB, window=30)"
Short-Term Reversal,Short-Term Sentiment Reversal,Stocks with the most negative news sentiment score over the past 3 days will outperform stocks with the most positive sentiment score over the next 1 day.,Signal = Rank(-3Day_Sentiment_Score)
Market Sentiment,Long-Term Sentiment Trend,A sustained upward trend in overall market sentiment predicts long-term price appreciation.,Signal = LinearRegression(Sentiment_t-180:t); if Slope(Signal) > 0.1 then Buy (long-term);
News Sentiment and Price Movement,Sentiment-PE Ratio Interaction,High positive sentiment combined with low P/E ratio predicts price appreciation.,signal = sentiment_score * (1/PE_ratio)
Market Sentiment,Surprise Sentiment Impact,Unexpectedly positive sentiment exceeding a threshold predicts a price increase within 2 days.,IF (NewsSentiment(t) - PredictedSentiment(t) > 0.4) THEN BuySignal = 1 ELSE BuySignal = 0
News Sentiment Impact on Price,Sentiment Volatility,Increased volatility in news sentiment predicts increased price volatility.,Signal = StdDev(Sentiment_t-30)
Market Sentiment,Cross-Asset Sentiment Correlation,High correlation between sentiment in related assets suggests a coordinated price movement.,"Signal = Correlation(Sentiment_AssetA_t-60:t, Sentiment_AssetB_t-60:t); if Signal > 0.8 then Buy (if positive sentiment in both assets);"
Volume & Volatility,Volume Spike & Volatility Burst,A large volume spike combined with a sharp increase in volatility predicts a significant price swing.,"signal = (volume_today > 3 * avg(volume, 20)) * (stddev(price, 5) > 2 * avg(stddev(price, 20), 20))"
